ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,BATT_CR2032_MPD,Keystone,103,digi,103K-ND,,,,,,
D702,LED-grn,LED-0805_A,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D703,DOUBLE_SCHOTTKY,sot23,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D1001,ZENERSMALL,SM1206,onsemi,MM3Z6V8T1G,digi,MM3Z6V8T1GOSCT-ND,sky-macau.com,5633100308,,,,,
D1002,TVS,D3,fairchild,BZX79C20,digi,BZX79C20-ND,sky-macau.com,8262743708,,,,,
D1003,TVS,D3,fairchild,BZX79C20,digi,BZX79C20-ND,sky-macau.com,8262743708,,,,,
D1004,SCHDPAK,DPAK2,VISHAY,VS-50WQ04FNPBF,DIGI,VS-50WQ04FNPBF-ND,DO NOT POPULATE,,,,,
D1005,LED-grn,LED-0805,lite-on,LTST-C171GKT,digi,160-1423-1-ND,,,,,,
D1006,DIODESCH,D4,do no populate,DNP,sky-macau.com,1438219496,,,,,,
F1001,3.5A,SIL-2,0R,jumperwire,0R,jumperwire,,,,,,
FB1,FILTER,SM0805,Murata,BLM21PG221SN1D,digi,490-1054-6-ND,,,,,,
FB701,FILTER,SM0805_jumper,Murata,BLM21PG221SN1D,digi,490-1054-6-ND,,,,,,
G1,LOGO,LOGO_F,DNP,DNP,DNP,DNP,,,,,,
G2,LOGO,LOGO,DNP,DNP,DNP,DNP,,,,,,
J1,MINI-USB-5P-3400020P1,MINI-USB-5P-3400020P1,JAE,DX2R005HN2E700,DIGI,670-1190-1-ND,,,,,,
J2,MINI-USB-5P-3400020P1V,MINI-USB_RCTP_V-T_B,TE,1734753-1,DIGI,A107790-ND,,,,,,
J351,MINI-USB-5P-3400020P1,MINI-USB-5P-3400020P1,JAE,DX2R005HN2E700,DIGI,670-1190-1-ND,,,,,,
J352,MINI-USB-5P-3400020P1V,MINI-USB_RCTP_V-T_B,TE,1734753-1,DIGI,A107790-ND,,,,,,
JP1,JUMPER,JUMPER-2,JUMPER-WIRE,0R,JUMPER-WIRE,0R,,,,,,
JP2,JUMPER,JUMPER-2,JUMPER-WIRE,0R,JUMPER-WIRE,0R,,,,,,
JP3,JUMPER,JUMPER-2,JUMPER-WIRE,0R,JUMPER-WIRE,0R,,,,,,
JP4,JUMPER,JUMPER-2,JUMPER-WIRE,0R,JUMPER-WIRE,0R,,,,,,
JP5,JUMPER3,SIL-3,DNP,DNP,DNP,DNP,,,,,,
JP211,TEST-AN,SIL-2,dnp,dnp,dnp,dnp,,,,,,
JP212,TEST-AN,SIL-2,dnp,dnp,dnp,dnp,,,,,,
JP471,JUMPER,JUMPER-2,JUMPER-WIRE,0R,JUMPER-WIRE,0R,,,,,,
JPO1,TEST-LCD,SIL-2,dnp,dnp,dnp,dnp,,,,,,
JPO2,TEST-gnd,SIL-2,dnp,dnp,dnp,dnp,,,,,,
JPO3,TEST-gnd,SIL-2,dnp,dnp,dnp,dnp,,,,,,
JPO4,TEST-CRK,SIL-2,dnp,dnp,dnp,dnp,,,,,,
JPO5,TEST-CAM,SIL-2,dnp,dnp,dnp,dnp,,,,,,
L1001,38uH,SM100uH,ref_PULSE,PE-54040-S,sky-macau.com,3817361683,,,,,,
