ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
R47,499k,SM0805,stackpole,RMCF0805FT499K,digi,RMCF0805FT499KCT-ND
R48,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND
R49,5k,SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND
R50,4M32,sm0805
R51,499k,sm0805
R52,10k,SM0805,BOURNS,CR0805-FX-1002ELF,digi,CR0805-FX-1002ELFCT-ND
R53,10k,SM0805,BOURNS,CR0805-FX-1002ELF,digi,CR0805-FX-1002ELFCT-ND
R54,39k,SM0805,vishay,CRCW080539K0FKEA,newark,53K0197,,,.125w,1%,thick film,other,more,stuff
R55,10k,SM0805,BOURNS,CR0805-FX-1002ELF,digi,CR0805-FX-1002ELFCT-ND
R56,2.2k,Sm0805,vishay,CRCW08052K21FKEA,digi,541-2.21KCCT-ND
R57,2.2k,Sm0805,vishay,CRCW08052K21FKEA,digi,541-2.21KCCT-ND
R58,2.2k,Sm0805,vishay,CRCW08052K21FKEA,digi,541-2.21KCCT-ND
R59,2.2k,Sm0805,vishay,CRCW08052K21FKEA,digi,541-2.21KCCT-ND
R60,2K4,SM0805,vishay,TNPW08052K49BEEA,newark,05R1646,,,125mW,.1%,thin film,other,more,stuff
R61,2K4,SM0805,vishay,TNPW08052K49BEEA,newark,05R1646,,,125mW,.1%,thin film,other,more,stuff
R62,10K,SM0805,BOURNS,CR0805-FX-1002ELF,newark,02J2368,,,125mW,1%,thick film,other,more,stuff
R63,68k,SM0805,Panasonic-ECG,ERJ-6GEYJ684V,digikey,P680KACT-ND,.125w,5%,metal oxide,other,more,stuff
R64,10K,SM0805,BOURNS,CR0805-FX-1002ELF,newark,02J2368,,,125mW,1%,thick film,other,more,stuff
R65,20K,SM0805,vishay,CRCW080520K0FKEA,newark,52K9995,-,-,120,mW,1,%,thick film,-
R66,20K,SM0805,vishay,CRCW080520K0FKEA,newark,52K9995,-,-,120,mW,1,%,thick film,-
R67,2.2k,Sm0805,vishay,CRCW08052K21FKEA,digi,541-2.21KCCT-ND
R68,0R,Sm0805,-,-,-,-
U1,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U2,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U3,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U4,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U5,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U6,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U7,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U8,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U9,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U10,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U11,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U12,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U13,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U14,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U15,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U16,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U17,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U18,OPTO,relay-SOP04,vishay,SFH690ABT,digi,751-1367-1-ND
U19,MAX5093B,QFN-16-5mm-caset4055,maxim,MAX5093BATE+,digi,MAX5093BATE+-ND,mouser,700-MAX5093BATE
U20,MAX9926/9927,MAXIM-10-QSOP16,maxim,MAX9926UAEE+,digi,MAX9926UAEE+-ND,mouser,700-MAX9926UAEE,--,-,other,more,stuff
U21,LM3480,SOT23-3,LINEAR,LM3480IM3-5.0/NOPB,digi,LM3480IM3-5.0CT-ND,,,5V,.05%,LINEAR,other,more,stuff
U22,LM3480,SOT23-3,LINEAR,LM3480IM3-5.0/NOPB,digi,LM3480IM3-5.0CT-ND,,,5V,.05%,LINEAR,other,more,stuff
U23,5V-bulk,TO220_VERT,-,-,-,-,5V,.05%,LINEAR,other,more,stuff
U24,MAX9939,uMAX-uSOP_10,maxim-ic,MAX9939AUB+,mouser,700-MAX9939AUB,-,-,-,-,-,-,-,-
U25,MPX4250A,MPX-4_MAP,freescale,MPX4250AP,digikey,MPX4250AP-ND,x,x,x,x,x,other,more,stuff
U26,LM358,SO8E,st,LM358DT,digi,497-1591-1-ND
U27,SP723,SO8E,littlefuse,SP723ABTG,digi,F3164CT-ND
U28,POLOLU_A4988,SWDIP8_.6W
U29,SP723,SO8E,littlefuse,SP723ABTG,digi,F3164CT-ND
U201,MPC5634M,MODULE
W1,JMP,SIL-2
W2,JMP,sil-2
W3,JMP,sil-2
W4,JMP,SIL-2
