Reference, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#, VEND2,VEND2#
"TP23","CONN_01X01","Connect:PINTST",""
"TP24","CONN_01X01","Connect:PINTST",""
"TP103","CONN_01X01","Connect:PINTST",""
"TP104","CONN_01X01","Connect:PINTST",""
"C14","1000uF","Capacitors_ThroughHole:CP_Radial_D22.0mm_P10.00mm_SnapIn","","Cornell,SLPX102M100A3P3","DIGI,338-1553-ND",","
"C15","1000uF","Capacitors_ThroughHole:CP_Radial_D22.0mm_P10.00mm_SnapIn","","Cornell,SLPX102M100A3P3","DIGI,338-1553-ND",","
"J3","CONN_02X08","Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm","","sullins,SBH11-PBPC-D08-ST-BK","DIGI,S9171-ND",","
"J4","CONN_02X08","Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm","","sullins,SBH11-PBPC-D08-ST-BK","DIGI,S9171-ND",","
"J7","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"J5","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"Y1","1MHz","Crystals:Crystal_SMD_SeikoEpson_MC306-4pin_8.0x3.2mm","","epson,SG7050CAN 1.000000M-TJGA3","DIGI,SER3990CT-ND",""
"J6","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"J14","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"C59","330pF","rusEFI_LIB:C_0805","","Kemet,C0805C331J1GACTU","DIGI,399-1131-1-ND",","
"Q4","BUK9230-100B","TO_SOT_Packages_SMD:TO-252-2Lead","","Nexperia,BUK9230-100B","DIGI,1727-4708-1-ND",","
"Q3","BUK9230-100B","TO_SOT_Packages_SMD:TO-252-2Lead","","Nexperia,BUK9230-100B","DIGI,1727-4708-1-ND",","
"C36","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
"C35","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
"R14","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"R13","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"C44","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"C48","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"D13","STPS2H100UY","Diodes_SMD:D_SMB","","ST,STPS2H100UY","DIGI,497-11093-1-ND",","
"Q8","BUK9230-100B","TO_SOT_Packages_SMD:TO-252-2Lead","","Nexperia,BUK9230-100B","DIGI,1727-4708-1-ND",","
"R18","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"C56","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
"C43","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"C47","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"Q7","BUK9230-100B","TO_SOT_Packages_SMD:TO-252-2Lead","","Nexperia,BUK9230-100B","DIGI,1727-4708-1-ND",","
"R17","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"C55","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
"R21","0R015","Resistors_SMD:R_1206_HandSoldering","","Panasonic,ERJ-8CWFR015V","DIGI,P0.015BVCT-ND",","
"C39","0.33uF","rusEFI_LIB:C_0805","","Yageo,CC0805KKX7R8BB334","DIGI,311-3385-1-ND",","
"TP101","CONN_01X01","Connect:PINTST",""
"TP102","CONN_01X01","Connect:PINTST",""
"C40","0.33uF","rusEFI_LIB:C_0805","","Yageo,CC0805KKX7R8BB334","DIGI,311-3385-1-ND",","
"C42","0.33uF","rusEFI_LIB:C_0805","","Yageo,CC0805KKX7R8BB334","DIGI,311-3385-1-ND",","
"J10","INJ_Term","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","","onshore,OSTTG025100B","DIGI,ED2703-ND",","
"J11","INJ_Term","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","","onshore,OSTTG025100B","DIGI,ED2703-ND",","
"J9","INJ_Term","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","","onshore,OSTTG025100B","DIGI,ED2703-ND",","
"J8","INJ_Term","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","","onshore,OSTTG025100B","DIGI,ED2703-ND",","
"J12","INJ_Term","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","","onshore,OSTTG025100B","DIGI,ED2703-ND",","
"TP105","CONN_01X01","Connect:PINTST",""
"TP106","CONN_01X01","Connect:PINTST",""
"J15","CONN_01X01","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
"J20","Conn_01x02","Connect:PINHEAD1-2","","TE,282834-2","DIGI,A98333-ND","tbd,tbd"
"D11","SBR10200CTL","TO_SOT_Packages_SMD:TO-252-2Lead","","Diodes,SBR10200CTL-13","DIGI,SBR10200CTL-13DICT-ND",","
"D10","SBR10200CTL","TO_SOT_Packages_SMD:TO-252-2Lead","","Diodes,SBR10200CTL-13","DIGI,SBR10200CTL-13DICT-ND",","
"D12","STPS2H100UY","Diodes_SMD:D_SMB","","ST,STPS2H100UY","DIGI,497-11093-1-ND",","
