; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Engine RPM: RPM
; Ignition timing advance for #1 cylinder: 
; Absolute throttle position: %
;
Time,Intake manifold absolute pressure,Time,Engine RPM,Time,Ignition timing advance for #1 cylinder,Time,Absolute throttle position
92.7545828,2.465641,92.840101,2124.5,92.9332026,22.5,93.6032768,13.33333
93.3133166,2.465641,93.4002703,2073.75,93.5092786,22.5,94.125287,13.33333
93.8251549,2.610679,93.9131821,1906.75,94.0312512,22.5,94.7192689,13.33333
94.4032446,3.045793,94.5162598,1420,94.5982828,22.5,95.2312637,13.33333
94.9202694,4.061057,95.0252572,1200.25,95.1182579,16,95.7973261,13.33333
95.5223325,4.351132,95.6232254,1120.5,95.7093151,7.5,96.3143543,13.33333
96.0262384,4.641208,96.1103401,1074,96.2274203,10,96.9103584,13.33333
96.602364,4.786245,96.708339,1076.25,96.8232772,7.5,97.5324003,13.33333
97.230351,4.641208,97.3176996,1082,97.4323935,9,98.0983781,13.33333
97.8041455,4.641208,97.9084386,1088.75,98.0024721,8.5,98.5542898,13.33333
98.2743799,4.641208,98.369356,1096.25,98.4573428,6,99.0293615,13.33333
98.7272754,4.786245,98.8258289,1078,98.922367,9,99.5083671,13.33333
99.2243726,4.786245,99.3084408,1072.75,99.4044503,5,99.938374,13.33333
99.6833885,4.786245,99.7783254,1038.75,99.8534513,7.5,100.3884331,13.33333
100.1223771,5.076321,100.2224377,1012.5,100.3143927,2.5,100.8423234,13.33333
100.5694166,5.076321,100.6543881,989.5,100.756417,4,101.3303843,13.33333
101.0273718,5.076321,101.1203618,966.75,101.2223607,4,101.8223055,13.33333
101.5093773,5.221359,101.6292994,934.25,101.7243585,1.5,102.308363,13.33333
102.0222677,5.221359,102.1114323,901,102.2024087,1.5,102.8223132,13.33333
102.5173658,5.366396,102.622274,865.25,102.7123693,1.5,103.4033879,13.33333
103.1083204,5.511434,103.2054864,853.25,103.3103988,0.5,103.8464011,13.33333
103.5844048,5.511434,103.6774085,849.75,103.7565333,-3,104.3183232,13.33333
104.0273684,5.511434,104.1093742,851.75,104.2246498,1,104.8243422,13.33333
104.5073714,5.511434,104.6023673,802.75,104.7213989,7,105.4242861,13.33333
105.1203874,5.656472,105.2233196,807,105.3083972,6.5,105.8463866,13.33333
105.5834186,5.656472,105.6774025,815.5,105.7575239,5.5,106.2813436,13.33333
106.0233771,5.656472,106.1073726,820.75,106.1932807,5.5,106.8313958,13.33333
106.4543523,5.656472,106.6108819,819,106.7245133,6.5,107.3653187,13.33333
107.1134066,5.656472,107.1873998,814.5,107.2765667,6.5,107.831444,13.33333
107.556426,5.656472,107.6433558,811.25,107.7335099,6.5,108.322495,13.33333
108.0223853,5.656472,108.1095323,824,108.2294288,5,108.7955532,13.33333
108.5084693,5.656472,108.6015475,817.25,108.7115578,6,109.3310945,13.33333
108.9784939,5.656472,109.1016686,807.5,109.1837802,6.5,109.9087306,13.33333
109.62258,5.656472,109.7076858,807.5,109.8026975,7,110.3477836,13.33333
110.0897198,5.656472,110.1737495,812.75,110.2577543,4.5,110.8237616,13.33333
110.5278104,5.511434,110.6328442,843.25,110.7218272,1.5,111.2979713,13.33333
111.0227608,5.366396,111.1088847,843.25,111.2019031,2,111.728057,13.33333
111.4549681,5.366396,111.5498985,839,111.633396,2.5,112.1379717,13.33333
111.8989368,5.221359,111.9739281,843.5,112.0448772,2.5,112.6005098,13.33333
112.3081278,5.221359,112.4010341,837.5,112.5081339,3,113.0331038,13.33333
112.784353,5.221359,112.8603008,830.75,112.9346659,3.5,113.4871366,13.33333
113.1999474,5.221359,113.3121914,845.5,113.3971638,1.5,113.9051152,13.33333
113.6541924,5.221359,113.7322053,824,113.8271981,3.5,114.3342718,13.33333
114.074279,5.221359,114.1582393,836.25,114.2442879,3,114.7462851,13.33333
114.4972511,5.221359,114.582363,833,114.6582996,3,115.1751713,13.33333
114.9232971,5.221359,114.9982953,824.5,115.0883271,4.5,115.6253056,13.33333
115.3333419,5.221359,115.4225114,834,115.5152466,3.5,116.3485005,13.33333
116.0774606,5.221359,116.1585088,828.75,116.2534897,2,116.7315483,13.33333
116.4955735,5.221359,116.5764985,831,116.6465288,5,117.1946005,13.33333
116.9235512,5.221359,117.0275927,826,117.1096778,5.5,117.6247773,13.33333
