; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Ignition timing advance for #1 cylinder: 
; Engine RPM: RPM
;
Time,Intake manifold absolute pressure,Time,Ignition timing advance for #1 cylinder,Time,Engine RPM
46764.4772573,14.35874,46764.7421627,-4.5,46764.5963549,1325.25
46765.1193392,14.35874,46765.4362895,-2.5,46765.2595131,1469.75
46765.8573158,14.2137,46766.1285395,1,46765.9823287,1630
46766.5553597,14.06866,46766.808395,4,46766.6793692,1842.25
46767.2314361,14.06866,46767.5236863,4,46767.3883932,2074.75
46767.9316128,14.2137,46768.2274712,4,46768.0844218,2301
46768.6497938,14.35874,46768.9429858,5.5,46768.8144839,2553.75
46769.3604812,14.35874,46769.6657314,7,46769.5020327,2790
46770.0716827,14.50377,46770.3717276,12.5,46770.2377903,3095.25
46770.8095447,14.64881,46771.0803303,18,46770.9495701,3389.75
46771.5056837,13.92362,46771.817821,24,46771.6806048,3687.75
46772.2379289,3.480906,46772.5246427,7.5,46772.3606317,3669
46772.9586231,13.77859,46773.2396757,22.5,46773.0891233,3807.75
46773.5446445,2.320604,46773.7367094,22,46773.638709,3690.25
46773.8967041,2.320604,46774.0656997,22.5,46773.9927191,3466.5
46774.1977473,2.175566,46774.3607643,22.5,46774.2826613,3085.25
46774.5527489,2.320604,46774.732736,22.5,46774.628685,2402.25
46774.9867636,2.755717,46775.1556719,22.5,46775.0707639,1598.5
46775.3147889,3.480906,46775.4727502,22.5,46775.3987858,1132.25
46775.6358031,5.221359,46775.8037876,22.5,46775.7307051,976.25
46775.9517968,6.236623,46776.0937041,7.5,46776.0258202,1026
46776.2658298,5.946547,46776.4448425,8.5,46776.3508395,1050.75
46776.6218424,5.656472,46776.7858594,12,46776.6988521,1026
46776.9587634,5.656472,46777.1288581,12,46777.0318525,1034.5
46777.3149564,5.656472,46777.4797713,14,46777.3988763,1009.75
46777.6657936,5.656472,46777.8648271,13,46777.7589129,1008
46778.0648161,5.656472,46778.2359305,13,46778.1519337,1002.75
46778.5359355,6.816774,46778.8319977,30,46778.689882,1435.75
46779.2599736,7.687,46779.5452633,23.5,46779.4009807,1389.25
46779.9749466,8.99234,46780.2490385,17,46780.1050571,1538.25
46780.681053,9.862566,46780.9730741,21,46780.8290003,1655.75
46781.4041048,9.137378,46781.6830282,23,46781.5461238,1795.5
46782.1240488,8.847302,46782.4132024,24,46782.2770671,1877
46782.8261893,8.557226,46783.1092479,27,46782.974199,1987.75
46783.541158,8.267151,46783.8311688,28.5,46783.6901806,2040
46784.2441779,8.702264,46784.5232826,24.5,46784.3882739,2131.25
46784.9584913,6.961812,46785.2653339,42.5,46785.1132813,2221.5
46785.7008651,4.641208,46785.9753598,42.5,46785.8453683,2229.75
46786.4183,4.641208,46786.6815252,42,46786.5528083,2207
46787.1227988,3.770981,46787.4134082,42,46787.2682908,2115.5
46787.8654584,5.946547,46788.1546521,38.5,46788.0094244,2175.75
46788.5953743,4.931283,46788.8956172,41.5,46788.74944,2164
46789.3305321,3.480906,46789.6196531,22.5,46789.4753963,1885.75
46790.0193633,3.770981,46790.3093277,22.5,46790.1624456,1020.75
46790.7353584,6.38166,46791.025446,-2,46790.8786025,1004.75
46791.2933924,5.946547,46791.468435,10,46791.373444,1034.75
46791.6664758,5.801509,46791.8633576,12.5,46791.7734604,1014.75
46792.0674563,5.801509,46792.2604802,14,46792.1724461,1011
46792.4564783,5.801509,46792.6423776,14.5,46792.5464969,1008
46792.8224473,5.801509,46793.0034554,14.5,46792.9093831,1014.25
46793.1774681,5.946547,46793.3264596,14.5,46793.2433543,1002.75
46793.4984646,5.946547,46793.696378,16,46793.5833928,1003.5
46793.8614663,5.946547,46794.023429,15,46793.9475013,982
46794.189489,5.946547,46794.371474,9,46794.2734591,1001.25
46794.5464516,5.946547,46794.706381,11,46794.6364591,1002.75
46794.8724684,5.946547,46795.0684391,10,46794.9804829,1009
46795.2484798,5.946547,46795.4094827,8.5,46795.323452,985.5
46795.5873772,5.946547,46795.7644531,7.5,46795.6704765,971.25
46795.9193716,6.236623,46796.1113861,5.5,46796.0124611,972.25
46796.3873647,6.091585,46796.6473508,4,46796.530483,936.5
46797.0904587,6.236623,46797.3715006,3.5,46797.2585777,872
46797.7985613,6.526698,46798.0683585,2.5,46797.9270834,833.75
46798.486688,6.526698,46798.7778548,3,46798.6326555,832.25
46799.1767421,6.671736,46799.4837742,3,46799.341659,827.75
46799.8897981,6.671736,46800.1521053,4.5,46800.0108294,831.75
46800.5388984,6.526698,46800.8290874,4.5,46800.6720206,825.5
46801.232058,6.526698,46801.5171918,6.5,46801.3658167,820.25
46801.9741258,6.671736,46802.2512161,4.5,46802.1150407,829
46802.6545649,7.541962,46802.9384197,12.5,46802.8071899,692.25
46803.3426077,9.427453,46803.6492813,-13.5,46803.4844817,893
46804.0693261,7.106849,46804.3439808,18.5,46804.2013566,988.75
46804.7700723,8.122113,46805.0333479,-6,46804.9144939,826.25
46805.4725354,8.122113,46805.7688711,-4.5,46805.6140218,866
46806.19602,8.267151,46806.4988952,-9,46806.3456465,836.5
46806.9340455,7.687,46807.231661,0.5,46807.0887058,1005.5
46807.639903,6.816774,46807.9287712,1.5,46807.7828571,1047.25
46808.3139433,6.38166,46808.6018312,7,46808.4448425,1008.25
46808.9488546,6.236623,46809.1197717,7,46809.0438488,1007
46809.3118227,6.236623,46809.4898982,4.5,46809.3968843,995.75
46809.6548887,6.38166,46809.8148989,4.5,46809.7207438,976.5
46810.0038266,6.526698,46810.2029333,4.5,46810.1098159,999.75
46810.409935,6.236623,46810.5977969,7,46810.5118858,1029.25
46810.8110408,5.946547,46810.9928324,10,46810.9112584,1024.25
46811.2589969,5.656472,46811.4260081,13.5,46811.3420192,1013.75
46811.5990142,5.656472,46811.8030295,12,46811.7099446,1004.5
46811.9660636,5.656472,46812.144051,14,46812.0600399,1001.25
46812.3189802,5.656472,46812.5120423,13,46812.4149702,999
46812.6750773,5.656472,46812.8550999,11,46812.7611022,994.5
46813.049103,5.656472,46813.2190184,12,46813.1330217,981.5
46813.4091164,5.656472,46813.6001374,10.5,46813.5120945,963
46813.7991688,5.946547,46814.0401712,10,46813.885174,962.5
46814.3331439,6.091585,46814.6182105,7,46814.4821504,970.5
46815.0542511,6.236623,46815.3131589,3,46815.1901632,928.5
46815.7551868,6.38166,46816.0384715,4,46815.9032069,881.5
46816.4772452,6.671736,46816.7406073,3,46816.6203328,844.5
46817.1723673,6.816774,46817.4766537,3,46817.3293285,848.5
46817.8974145,6.671736,46818.1785867,5,46818.0433667,834.75
46818.5833653,6.526698,46818.8807232,4.5,46818.7334553,820
46819.3095097,6.526698,46819.5995031,6,46819.4553935,803.75
46820.0355172,6.526698,46820.3085405,16.5,46820.1785849,806.75
46820.7604161,6.671736,46821.0528193,35.5,46820.9039979,1619.25
46821.4735023,4.931283,46821.7536077,22.5,46821.6165229,1877.25
46822.1945397,4.351132,46822.4549427,22.5,46822.3247493,1542.5
46822.9035702,4.641208,46823.1866962,36.5,46823.0486679,1439.5
46823.6019454,5.076321,46823.892932,37,46823.7485563,1675.5
46824.3086474,5.221359,46824.5749315,38,46824.4448468,1897.75
46824.9839523,4.641208,46825.2789441,39,46825.1489671,2040
46825.7048246,4.49617,46825.9700617,39.5,46825.826799,2073
46826.4048534,4.49617,46826.669833,40.5,46826.5528655,2099.75
46826.9478896,4.351132,46827.1098642,41,46827.023879,2115.75
46827.3099186,4.351132,46827.4909039,41,46827.3969003,2115.25
46827.6298083,4.351132,46827.7919096,41,46827.7078153,2120
46827.9540801,5.221359,46828.1109101,41.5,46828.0269091,2198
46828.2759301,5.511434,46828.4349209,45,46828.3491517,2460
46828.6379358,5.221359,46828.8099626,47,46828.7219753,2709.5
46828.9739723,5.076321,46829.1469546,48.5,46829.0629502,2879
46829.3438754,4.786245,46829.5239741,52,46829.4379851,2995.75
46829.6769804,4.49617,46829.8259934,52,46829.752013,3027
46830.0370015,4.49617,46830.1750086,52.5,46830.1039349,3044.5
46830.3550431,4.351132,46830.5230143,52.5,46830.4370347,3045.5
46830.7180386,4.351132,46830.8970269,52.5,46830.8230379,3036.5
46831.0620503,4.351132,46831.2230797,52.5,46831.1470214,3039.5
46831.3980748,4.351132,46831.5650007,52.5,46831.492063,3034.25
46831.7660284,4.351132,46832.0283017,52.5,46831.8890953,3031
46832.3021183,4.351132,46832.5725653,22.5,46832.4371194,2934
46833.023898,3.335868,46833.3052372,22.5,46833.153154,2080
46833.7491935,4.641208,46834.0140844,22.5,46833.8931869,1698
46834.4546789,4.641208,46834.7251327,22.5,46834.595254,1586.25
46835.164296,4.786245,46835.4345112,12,46835.2922406,1392.5
46835.8730996,5.656472,46836.171817,5.5,46836.0206978,1226.5
46836.6333242,6.091585,46836.8993931,-0.5,46836.7743518,1085.25
46837.3184614,7.251887,"","","",""
