; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Ignition timing advance for #1 cylinder: 
; Engine RPM: RPM
;
Time,Intake manifold absolute pressure,Time,Ignition timing advance for #1 cylinder,Time,Engine RPM
46599.5373986,5.656472,46599.7414728,13,46599.626423,1025
46599.9294681,5.801509,46600.1524137,9,46600.0154896,996
46600.4195306,7.541962,46600.6715722,27.5,46600.5425335,1355
46601.1125629,4.931283,46601.4116888,37.5,46601.2636872,2048.75
46601.8396763,6.961812,46602.139834,42,46601.9646973,2325.5
46602.567895,6.091585,46602.8619399,43,46602.718897,3133.25
46603.2899941,6.816774,46603.5790614,39.5,46603.4330395,3776.75
46604.0180579,5.511434,46604.3021777,44,46604.1401419,4536.5
46604.7402408,4.931283,46605.0082843,46,46604.8862875,4957.75
46605.4434129,5.511434,46605.7243715,46,46605.5755555,5256
46606.1724527,5.656472,46606.4623633,47.5,46606.314396,5693.5
46606.8478947,5.511434,46607.1383792,49,46606.9995813,5945.75
46607.5834956,2.175566,46607.8737475,22.5,46607.7505202,4923.25
46608.3163806,2.320604,46608.6080619,22.5,46608.4546421,3229.5
46609.0535693,2.900755,46609.320674,22.5,46609.1885913,1992.5
46609.7545989,4.49617,46610.0082118,22.5,46609.88878,1189.25
46610.4536541,5.076321,46610.7254141,10.5,46610.5846334,1154.75
46611.1746503,5.946547,46611.4416926,2.5,46611.3196646,929.25
46611.8826029,7.106849,46612.1492184,-1,46612.0270954,886.75
46612.5920568,6.961812,46612.8517715,2,46612.7576339,878.75
46613.1486914,6.961812,46613.3086757,2.5,46613.2427529,875
46613.4907755,6.961812,46613.6769591,2.5,46613.5757865,880.5
46613.8417869,6.816774,46614.013778,4,46613.9267833,860.75
46614.1667795,6.816774,46614.3279563,2.5,46614.2407905,867.25
46614.48195,6.816774,46614.6808488,3,46614.5758284,880.25
46614.8488314,6.816774,46614.9957729,3,46614.9328227,865.75
46615.1648248,6.816774,46615.3287869,2.5,46615.2398324,872
46615.7538726,6.816774,46615.9288526,3.5,46615.84181,858
46616.0842271,6.816774,46616.2418745,3,46616.1488689,853
46616.4248924,6.816774,46616.5909145,3.5,46616.4987943,863.5
46616.7659161,6.816774,46616.9698391,6,46616.8569242,841.5
46617.1708536,6.816774,46617.3639563,4.5,46617.2778404,861.75
46617.5649486,6.671736,46617.7549528,5.5,46617.6519737,850
46617.9579896,6.671736,46618.2704007,5.5,46618.1259433,843.5
46618.675908,6.671736,46618.9560016,4.5,46618.8089017,848.25
46619.3860162,6.671736,46619.6679447,7,46619.5220801,837.5
46620.1039654,6.671736,46620.3941318,6.5,46620.2519755,847
46620.8280985,6.671736,46621.0991142,6,46620.9740059,836
46621.5281332,6.816774,46621.8060608,11,46621.6491397,945.5
46622.2330934,12.18317,46622.5070852,16,46622.3741804,1990.25
46622.9482008,10.44272,46623.2451311,20,46623.0701988,2317.5
46623.667257,10.15264,46623.9541461,24,46623.8072456,2319.5
46624.3801745,10.0076,46624.664499,20,46624.521294,2032
46625.1183239,10.44272,46625.4124338,26,46625.2632048,2419.25
46625.8473125,10.29768,46626.1364882,28.5,46625.9913439,2825.75
46626.5542795,3.770981,46626.8315287,46.5,46626.7044162,2657.5
46627.2184403,12.47325,46627.5165657,8,46627.3693632,2179.75
46627.9484435,14.06866,46628.233378,7.5,46628.0893919,2059.25
46628.767404,14.2137,46629.0534882,8.5,46628.8987783,2278.75
46629.4575437,14.2137,46629.747533,10,46629.6014494,2569.75
46630.1694603,14.06866,46630.4480731,14,46630.3038116,2786
46630.7715829,13.92362,46630.9846175,17.5,46630.8665992,3042.25
46631.176587,13.48851,46631.3766207,22.5,46631.2696205,3157
46631.5836605,12.32821,46631.7856643,31.5,46631.6915966,3287
46631.9877108,7.106849,46632.1786632,43,46632.0926024,3348.5
46632.3487111,6.526698,46632.5176709,43.5,46632.4437292,3371.25
46632.6936009,6.526698,46632.8717062,34,46632.7767198,3370.75
46633.0637279,11.89309,46633.2447306,27.5,46633.1497741,3446.25
46633.4427566,9.572491,46633.605754,32,46633.5156538,3551.75
46633.779772,8.702264,46633.9487498,32,46633.8637626,3608
46634.1247781,9.572491,46634.2968115,30,46634.2128337,3682
46634.4937468,9.717528,46634.6997224,38.5,46634.5868128,3686.5
46634.892833,5.946547,46635.0698254,39.5,46634.9768271,3727.25
46635.2628505,5.946547,46635.4388403,40,46635.3508454,3734
46635.6148644,5.946547,46635.8438625,40,46635.7227825,3732
46636.1377931,6.961812,46636.4098599,36,46636.2688778,3763.75
46636.8401922,8.847302,46637.10298,30.5,46636.9849271,3857.75
46637.5428958,8.702264,46637.8073825,32.5,46637.6869712,3970.5
46638.2580145,7.541962,46638.5166756,40,46638.3800066,4058.75
46638.9660355,5.656472,46639.2180396,42.5,46639.0930449,4115
46639.6360766,3.335868,46639.9614444,19.5,46639.7980958,3977.25
46640.4021096,2.030528,46640.6730891,22.5,46640.5311369,3910.25
46641.1097491,2.030528,46641.393278,22.5,46641.253017,3689.75
46641.8141337,1.885491,46642.0842338,22.5,46641.9592108,3414.25
46642.5191701,2.030528,46642.7862796,22.5,46642.6541658,3143.5
46643.2122834,2.320604,46643.4972425,22.5,46643.3423945,2833.75
46643.9412345,2.465641,46644.2235615,22.5,46644.0773295,2362
46644.6523917,2.610679,46644.9424612,22.5,46644.7992917,1930
46645.3624384,3.045793,46645.6623909,22.5,46645.5174087,1713.75
46646.1093547,4.206094,46646.3927108,40,46646.2483804,1627.25
46646.8234195,10.0076,46647.0947573,-4.5,46646.969424,1593.75
46647.5185368,14.06866,46647.8087023,-1,46647.6635644,1700
46648.2605142,14.06866,46648.5168156,2.5,46648.3959076,1897
46648.8026457,14.06866,46648.9865989,3.5,46648.8886718,2031.5
46649.1876621,14.06866,46649.3606065,3.5,46649.282661,2150.25
46649.5466658,14.2137,46649.7247156,3.5,46649.6416998,2293.75
46649.9177212,14.2137,46650.1117269,3.5,46649.995718,2410.75
46650.3197988,14.35874,46650.4858132,4.5,46650.4007503,2563.25
46650.6877651,14.35874,46650.8747621,6,46650.7927849,2714
46651.0577709,14.35874,46651.2427344,7,46651.1447021,2847.5
46651.407718,14.50377,46651.5688161,9,46651.4828165,2931.75
46651.7628294,14.2137,46651.9307635,14,46651.8578669,3081.75
46652.1178648,13.34347,46652.2951309,24.5,46652.196711,3213.5
46652.5238928,7.832038,46652.7148154,45.5,46652.610818,3258.5
46652.9118383,3.19083,46653.1179418,6.5,46653.0059364,3215.25
46653.3128388,2.755717,46653.4819679,22.5,46653.3978555,3158.5
46653.759885,2.610679,46654.0431367,22.5,46653.9039835,3067.5
46654.4820278,2.465641,46654.7670289,22.5,46654.6229697,2876.75
46655.1750604,2.900755,46655.4589896,22.5,46655.3160844,1495
46655.9030519,5.946547,46656.1921369,6,46656.0401246,1023.5
46656.6201521,6.236623,46656.9101676,9.5,46656.7481654,1064
46657.3521989,5.946547,46657.6753324,11.5,46657.4871875,1022.25
46658.0822031,5.946547,46658.4024828,14,46658.2582548,1018.75
46658.8162628,5.946547,46659.1072868,12,46658.9711734,1020.5
46659.5412849,6.526698,46659.8242046,33.5,46659.6872734,1425.25
46660.2502103,6.091585,46660.5273063,34,46660.372311,1929.25
46660.9483197,9.717528,46661.2383327,26,46661.0932586,2292.5
