HIP9011,1,D161,intersil,HIP9011ABZ,DIGI,HIP9011ABZ-ND,,,,,,,
0R,1,R402,0R,jumperwire,0R,jumperwire,,,,,,,
3.5A,1,F1001,0R,jumperwire,0R,jumperwire,,,,,,,
LM2596,1,U1001,linear,2596-5.0,DIGI,LM2596S-5.0/NOPB-ND,sky-macau.com,6841999795,,,,,
LM2937,1,U3,TI,LM2937IMP-3.3/NOPB,DIGI,LM2937IMP-3.3/NOPBCT-ND,,,,,,,
MAX9926/9927,1,U101,maxim,MAX9926UAEE+,DIGI,MAX9926UAEE+-ND,mouser,700-MAX9926UAEE,--,-,other,more,stuff
LED-blu,6,LD601 LD602 LD603 LD604 LD605 LD606,LITE-ON,LTST-C170TBKT,SEEED,NA,DIGI,160-1579-1-ND,,,,,
TC4427,3,U601 U602 U603,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA,,,,,
NUF2101MT1G,1,U2,on-semi,NUF2101MT1G,DIGI,NUF2101MT1GOSCT-ND,,,,,,,
TEST,55,W1 W2 W3 W4 W5 W6 W7 W8 W9 W10 W11 W12 W13 W14 W15 W16 W17 W18 W19 W20 W21 W22 W23 W27 W28 W29 W30 W31 W32 W33 W34 W35 W36 W37 W38 W43 W44 W45 W46 W47 W48 W50 W51 W52 W53 W54 W55 W56 W57 W58 W59 W60 W61 W62 W101,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,,
1500,24,R214 R215 R224 R225 R234 R235 R244 R245 R254 R255 R264 R265 R274 R275 R284 R285 R294 R295 R304 R305 R314 R315 R324 R325,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,,
100,19,R2 R213 R223 R233 R243 R253 R263 R273 R283 R293 R303 R313 R323 R601 R604 R605 R608 R609 R612,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,,
100k,1,R14,ECG,ERA6AEB104V,DIGI,P100KDACT-ND,,,,,,,
120,1,R473,ECG,ERA6AEB121V,DIGI,P120DACT-ND,,,,,,,
1M,4,R161 R162 R166 R351,ECG,ERA-6AEB105V,DIGI,P1MDACT-ND,,,,,,,
2700,17,R210 R220 R230 R240 R250 R260 R270 R280 R290 R300 R310 R602 R603 R606 R607 R610 R611,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,,
330R,1,R5,ECG,ERA6AEB331V,DIGI,P330DADKR-ND,,,,,,,
39k,1,R320,ECG,ERA6AEB393V,DIGI,P39KDACT-ND,,,,,,,
47R,1,R10,ECG,ERA6AEB473V,DIGI,P47KDACT-ND,,,,,,,
500K,11,R211 R221 R231 R241 R251 R261 R271 R281 R291 R301 R311,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,,
680R,4,R6 R7 R8 R9,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,,
68k,2,R167 R168,ECG,ERJ-8GEYJ680V,DIGI,P68ECT-ND,,,,,,,
5k,10,R102 R103 R104 R106 R107 R108 R109 R110 R111 R112,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,,
CRYSTAL,1,X2,epson,MC-306 32.768K-E3:ROHS,DIGI,SER2417CT-ND,,,,,,,
MOS_PRO,2,Q701 Q1001,vishay,SI2323DS-T1-E3,DIGI,SI2323DS-T1-E3CT-ND,,,,,,,
1kpot,1,RV101,Bourns,TC33X-2-102E,DIGI,TC33X-102ECT-ND,,,,,,,
SCHDPAK,1,D1004,VISHAY,VS-50WQ04FNPBF,DIGI,VS-50WQ04FNPBF-ND,DO NOT POPULATE,,,,,,
CONN_1,2,W63 W64,,,,,,,,,,,
CONN_4,1,P401,,,,,,,,,,,
DISPLAY_BL,1,S1,,,,,,,,,,,
ITEAD_HC-0X,1,U4,,,,,,,,,,,
MICRO-SDCARD-CONNECTOR-3300060P1,1,P352,seeed,3300060P1,,,,,,,,,
SKRHAAE010,1,U5,,,,,,,,,,,
