ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,Keystone,103,DIGI,103K-ND,,,,,,
D260,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D270,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D280,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D290,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D300,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D310,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D320,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D351,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D413,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D414,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D415,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D416,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D417,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D418,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D419,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D420,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D421,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D422,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D423,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D424,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D425,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D426,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D427,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D428,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D429,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D430,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D431,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D432,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D433,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D434,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D435,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D436,DIODE,on semi,BAT54T1G,DIGI,BAT54T1GOSCT-ND,,,,,,
D701,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D702,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D703,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D801,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D802,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D1001,ZENERSMALL,diodesinc,BZT52C7V5-7-F,DIGI,BZT52C7V5-FDICT-ND,sky-macau.com,5633100308,,,,,
D1002,TVS,fairchild,BZX79C20,DIGI,BZX79C20-ND,sky-macau.com,8262743708,,,,,
D1003,TVS,fairchild,BZX79C20,DIGI,BZX79C20-ND,sky-macau.com,8262743708,,,,,
D1004,SCHDPAK,VISHAY,VS-50WQ04FNPBF,DIGI,VS-50WQ04FNPBF-ND,DO NOT POPULATE,,,,,
D1005,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D1006,DIODESCH,do no populate,DNP,sky-macau.com,1438219496,,,,,,
F1001,3.5A,0R,jumperwire,0R,jumperwire,,,,,,
F1002,FUSE,DNP,DNP,DNP,DNP,,,,,,
FB1,FILTER,Murata,BLM21PG221SN1D,DIGI,490-1054-6-ND,,,,,,
FB701,FILTER,Murata,BLM21PG221SN1D,DIGI,490-1054-6-ND,,,,,,
G1,LOGO,DNP,DNP,DNP,DNP,,,,,,
G2,LOGO,DNP,DNP,DNP,DNP,,,,,,
J1,MINI-USB-5P-3400020P1,JAE,DX2R005HN2E700,DIGI,670-1190-1-ND,,,,,,
J2,MINI-USB-5P-3400020P1V,TE,1734753-1,DIGI,A107790-ND,,,,,,
J351,MINI-USB-5P-3400020P1,JAE,DX2R005HN2E700,DIGI,670-1190-1-ND,,,,,,
J352,MINI-USB-5P-3400020P1V,TE,1734753-1,DIGI,A107790-ND,,,,,,
JP1,JUMPER,JUMPER-WIRE,0R,JUMPER-WIRE,0R,,,,,,
