BATTERY_CR2032,1,"BT1",BATT_CR2032_MPD,Keystone,103,digi,103K-ND
CONN_1,8,"P1101 P1201 P1301 P1401 P1102 P1202 P1302 P1402",1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP
CONN_1,2,"P5 P1001",1PIN_SMD,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP
MICRO-SDCARD-CONNECTOR-3300060P1,1,"P352",MICRO-SDCARD-CONNECTOR-3300060P1,seeed,3300060P1
CONN_6,1,"P4",PIN_ARRAY-6X1,do not populate,DNP,do not populate,DNP
CONN_12X2,3,"P7 P8 P14",pin_array_12x2,dnp,dnp,dnp,dnp
CONN_25X2,2,"P1 P2",PIN_ARRAY_25x2_A,do not populate,DNP,do not populate,DNP
CONN_2,1,"P3",PIN_ARRAY_2_A,do not populate,DNP,do not populate,DNP
CONN_2,2,"P165 P166",PIN_ARRAY_2X1,do not populate,DNP,do not populate,DNP
CONN_8X2,3,"P24 P25 P26",pin_array_8x2,dnp,dnp,dnp,dnp
CONN_1,17,"P6 P9 P10 P11 P12 P13 P15 P16 P17 P18 P19 P20 P21 P22 P23 P30 P1002",SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP
CONN_1,2,"P901 P902",SIL-1,dnp,dnp,dnp,dnp
CONN_2,2,"P602 P604",SIL-2,dnp,dnp,dnp,dnp,dnp,dnp
CONN_2,4,"P1103 P1203 P1303 P1403",SIL-2,on-shore,OSTVN02A150,digi,ED10561-ND
CONN_2,4,"P1104 P1204 P1304 P1404",tcpl_PCC-SMP,omega,PCC-SMP-K,digi,1471-1067-ND
OVP_DRIVER,12,"Q401 Q402 Q403 Q404 Q405 Q406 Q407 Q408 Q409 Q410 Q411 Q412",SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND
MOS_PRO,1,"Q701",SOT23,vishay,SI2323DS-T1-E3,digi,SI2323DS-T1-E3CT-ND
MOS_PRO,1,"Q1001",SOT23,vishay,SI2323DS-T1-E3,digi,SI2323DS-T1-E3CT-ND,sky-macau.com,4824167646
0R,1,"R402",SIL-2,0R,jumperwire,0R,jumperwire
0R,2,"R801 R802",SM0805,DNP,DNP,DNP,DNP
20R,12,"R403 R406 R407 R410 R411 R414 R415 R418 R419 R422 R423 R426",SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V
47R,1,"R10",SM0805,ECG,ERA6AEB473V,digi,P47KDACT-ND
100R,1,"R2",SM0805,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND
